"id","name","alternative_name","country_name","is_active"
507,"Aero Servicios Expecializados","\N","Mexico","N"
508,"Aurigny Air Services","\N","United Kingdom","Y"
509,"Aus-Air","\N","Australia","N"
510,"Austral Lineas Aereas","\N","Argentina","Y"
511,"Aurora Aviation","\N","AURORA AIR","N"
512,"Air Uganda International Ltd.","\N","Uganda","N"
513,"Aerolineas Uruguayas","\N","AUSA","N"
514,"Australian Airlines","\N","Australia","N"
515,"Avianca - Aerovias Nacionales de Colombia","\N","AVIANCA","Y"
516,"Aviation Beaufort","\N","United Kingdom","N"
517,"Alamo Aviacion","\N","ALAMO","N"
518,"Aviair Aviation Ltd.","\N","Canada","N"
519,"Air Falcon","\N","Djibouti","N"
520,"AV8 Helicopters","\N","United Kingdom","N"
521,"Avia Traffic Company","\N","Kyrgyzstan","N"
522,"AV8 Helicopters","\N","South Africa","N"
523,"Aviacion Ejecutiva Mexicana","\N","AVEMEX","N"
524,"Air Vanuatu","\N","Vanuatu","Y"
525,"Aviation at Work","\N","South Africa","N"
526,"Avcorp Registrations","\N","United Kingdom","N"
527,"Alfa Aerospace","\N","Australia","N"
528,"Atlantic Airfreight Aviation","\N","Sao Tome and Principe","N"
529,"Aerolift Company","\N","Sierra Leone","N"
530,"Aviation Services","\N","AQUILINE","N"
531,"Active Aero Charter","\N","ACTIVE AERO","N"
532,"Avialsa T-35","\N","Spain","N"
533,"Asia Avia Airlines","\N","Indonesia","N"
534,"Avia Sud A","\N","France","N"
535,"Airvantage Incorporated","\N","United States","N"
536,"Aviator Airways","\N","Greece","N"
537,"Aviapaslauga","\N","Lithuania","N"
538,"ASL","\N","Belgium","N"
539,"Air Yugoslavia","\N","Serbia","N"
540,"Airlink Zambia","\N","Zambia","N"
541,"Agence Nationale des Aerodromes et de la Meteorologie","\N","Ivory Coast","N"
542,"Airbus Transport International","\N","France","N"
543,"Air Bangladesh","\N","Bangladesh","Y"
544,"Aviodetachment-28","\N","Bulgaria","N"
545,"Aero BG","\N","Mexico","N"
546,"Aerotaxis De La Bahia","\N","Mexico","N"
547,"Air Mediterranee","\N","France","Y"
548,"Aviaservice","\N","Georgia","N"
549,"Aerolineas De El Salvador","\N","El Salvador","N"
550,"Swaziland Airlink","\N","Swaziland","N"
551,"Air Moorea","\N","France","Y"
552,"Aerovaradero","\N","AEROVARADERO","N"
553,"Air Valencia","\N","Spain","N"
554,"Airways International","\N","AIRNAT","N"
555,"Airwork","\N","New Zealand","N"
556,"Australian Wetleasing","\N","Australia","N"
557,"Air Niamey","\N","Niger","N"
558,"Awood Air Ltd.","\N","Canada","N"
559,"Arctic Wings And Rotors Ltd.","\N","Canada","N"
560,"Auo Airclub AIST-M","\N","Russia","N"
561,"Arab Wings","\N","Jordan","N"
562,"Air West","\N","Canada","N"
563,"Aeroline GmbH","\N","Germany","Y"
564,"Airwave Transport","\N","AIRWAVE","N"
565,"Air Wales","\N","United Kingdom","Y"
566,"Aeroway","\N","AEROWEE","N"
567,"Air Caraïbes","\N","France","Y"
568,"AirWest","\N","Sudan","N"
569,"Air India Express","\N","India","Y"
570,"Air Express","\N","Sudan","N"
571,"Asian Express Airlines","\N","Australia","N"
572,"Aeromexhaga","\N","Mexico","N"
573,"Aeron International Airlines","\N","AIR FREIGHTER","N"
574,"African Express Airways","\N","Kenya","N"
575,"Air Exel","\N","Netherlands","Y"
576,"AirAsia","Air Asia","Malaysia","Y"
577,"Alexandair","\N","Greece","N"
578,"Aeromax","\N","Spain","N"
579,"Action Airlines (Action Air Charter)","\N","United States","N"
580,"Alberni Airways","\N","Canada","N"
581,"Aerolineas Bonanza","\N","Mexico","N"
582,"Aerobona","\N","Mexico","N"
583,"Aboitiz Air","\N","Philippines","N"
584,"Axel Rent","\N","RENTAXEL","N"
585,"Altus Airlines","\N","United States","N"
586,"Aviaxess","\N","France","N"
587,"Avioimpex A.D.p.o.","\N","Macedonia","N"
